NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE,LATITUDE,LONGITUDE
CZ020,Total wheat,Area,172763.45933333333,2006,2020,15,ha,NSI,49.74228369700006,14.454853810000031
CZ031,Total wheat,Area,78927.48533333333,2006,2020,15,ha,NSI,49.10306733300007,14.412144824000052
CZ032,Total wheat,Area,61813.488,2006,2020,15,ha,NSI,49.59835613800004,13.218227421000051
CZ041,Total wheat,Area,11796.03,2006,2020,15,ha,NSI,50.16991576500004,12.718655322000075
CZ042,Total wheat,Area,64996.130666666664,2006,2020,15,ha,NSI,50.52979452800008,13.839041703000078
CZ051,Total wheat,Area,12238.021999999999,2006,2020,15,ha,NSI,50.734677248000025,14.974564517000033
CZ052,Total wheat,Area,55689.94066666667,2006,2020,15,ha,NSI,50.38975137300008,15.856985148000035
CZ053,Total wheat,Area,51222.66333333333,2006,2020,15,ha,NSI,49.87478596200003,16.506849
CZ063,Total wheat,Area,71149.382,2006,2020,15,ha,NSI,49.41830265200008,15.679046795000033
CZ064,Total wheat,Area,114151.20733333332,2006,2020,15,ha,NSI,49.07754601600004,16.637649433000036
CZ071,Total wheat,Area,52357.566,2006,2020,15,ha,NSI,49.60931472000004,17.360528250000073
CZ072,Total wheat,Area,33640.75466666667,2006,2020,15,ha,NSI,49.22542877200004,17.74139824200006
CZ080,Total wheat,Area,39335.194,2006,2020,15,ha,NSI,49.80287325200004,18.00982293000004
DE111,Total wheat,Area,435.75,2007,2020,4,ha,NSI,48.77094657200007,9.180482772000062
DE112,Total wheat,Area,4867.0,2007,2020,4,ha,NSI,48.68260942400008,8.948777975000041
DE113,Total wheat,Area,2909.25,2007,2020,4,ha,NSI,48.656584,9.364520527000025
DE114,Total wheat,Area,3196.5,2007,2020,4,ha,NSI,48.66796724100004,9.71972687400006
DE115,Total wheat,Area,8195.0,2007,2020,4,ha,NSI,48.939349467000056,9.117831847000048
DE116,Total wheat,Area,3037.5,2007,2020,4,ha,NSI,48.90086887500007,9.485702025000023
DE117,Total wheat,Area,1029.25,2007,2020,4,ha,NSI,49.14872347700003,9.191961293000077
DE118,Total wheat,Area,13879.25,2007,2020,4,ha,NSI,49.10580306500003,9.350176125000075
DE119,Total wheat,Area,9972.5,2007,2020,4,ha,NSI,49.296791925000036,9.619886976000032
DE11A,Total wheat,Area,14315.25,2007,2020,4,ha,NSI,49.15462856500005,9.909347092000075
DE11B,Total wheat,Area,19617.5,2007,2020,4,ha,NSI,49.54977960800005,9.73425034500002
DE11C,Total wheat,Area,5603.75,2007,2020,4,ha,NSI,48.655150795000054,10.176809761000072
DE11D,Total wheat,Area,8971.25,2007,2020,4,ha,NSI,48.87865008500006,10.090453913000033
DE121,Total wheat,Area,63.666666666666664,2007,2016,3,ha,NSI,48.74798638900006,8.23835673900004
DE122,Total wheat,Area,385.75,2007,2020,4,ha,NSI,49.022735847000035,8.350031434000073
DE123,Total wheat,Area,7993.5,2007,2020,4,ha,NSI,49.120689123000034,8.569539250000048
DE124,Total wheat,Area,1625.25,2007,2020,4,ha,NSI,48.66215036600005,8.188127750000035
DE125,Total wheat,Area,384.75,2007,2020,4,ha,NSI,49.40247109500007,8.704386579000072
DE126,Total wheat,Area,685.5,2007,2020,4,ha,NSI,49.507560614000056,8.491668254000047
DE127,Total wheat,Area,11800.0,2007,2020,4,ha,NSI,49.47676676400005,9.298988057000031
