NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE
DE132,Total wheat,Area,2666.25,2007,2020,4,ha,NSI
DE133,Total wheat,Area,1493.25,2007,2020,4,ha,NSI
DE134,Total wheat,Area,5393.0,2007,2020,4,ha,NSI
DE135,Total wheat,Area,4030.5,2007,2020,4,ha,NSI
DE136,Total wheat,Area,3481.5,2007,2020,4,ha,NSI
DE137,Total wheat,Area,2032.0,2007,2020,4,ha,NSI
DE138,Total wheat,Area,4338.5,2007,2020,4,ha,NSI
DE139,Total wheat,Area,1658.5,2007,2020,4,ha,NSI
DE13A,Total wheat,Area,2895.5,2007,2020,4,ha,NSI
DE141,Total wheat,Area,4779.5,2007,2020,4,ha,NSI
DE142,Total wheat,Area,4564.25,2007,2020,4,ha,NSI
DE143,Total wheat,Area,3399.0,2007,2020,4,ha,NSI
DE144,Total wheat,Area,1327.75,2007,2020,4,ha,NSI
DE145,Total wheat,Area,16297.75,2007,2020,4,ha,NSI
DE146,Total wheat,Area,13307.25,2007,2020,4,ha,NSI
DE147,Total wheat,Area,2668.0,2007,2020,4,ha,NSI
DE148,Total wheat,Area,4976.5,2007,2020,4,ha,NSI
DE149,Total wheat,Area,8930.75,2007,2020,4,ha,NSI
DE211,Total wheat,Area,2164.25,2007,2020,4,ha,NSI
DE212,Total wheat,Area,911.25,2007,2020,4,ha,NSI
DE213,Total wheat,Area,56.25,2007,2020,4,ha,NSI
DE214,Total wheat,Area,5030.5,2007,2020,4,ha,NSI
DE215,Total wheat,Area,439.5,2007,2020,4,ha,NSI
DE216,Total wheat,Area,244.75,2007,2020,4,ha,NSI
DE217,Total wheat,Area,9336.75,2007,2020,4,ha,NSI
DE218,Total wheat,Area,2571.5,2007,2020,4,ha,NSI
DE219,Total wheat,Area,16396.75,2007,2020,4,ha,NSI
DE21A,Total wheat,Area,12951.25,2007,2020,4,ha,NSI
DE21B,Total wheat,Area,11155.75,2007,2020,4,ha,NSI
DE21C,Total wheat,Area,5277.0,2007,2020,4,ha,NSI
DE21D,Total wheat,Area,17.0,2007,2020,4,ha,NSI
DE21E,Total wheat,Area,5375.5,2007,2020,4,ha,NSI
DE21F,Total wheat,Area,158.25,2007,2020,4,ha,NSI
DE21G,Total wheat,Area,8272.5,2007,2020,4,ha,NSI
DE21H,Total wheat,Area,2802.75,2007,2020,4,ha,NSI
DE21I,Total wheat,Area,6507.5,2007,2020,4,ha,NSI
DE21J,Total wheat,Area,6273.75,2007,2020,4,ha,NSI
DE21K,Total wheat,Area,2551.5,2007,2020,4,ha,NSI
DE21L,Total wheat,Area,1592.75,2007,2020,4,ha,NSI
DE21M,Total wheat,Area,5048.25,2007,2020,4,ha,NSI
DE21N,Total wheat,Area,551.75,2007,2020,4,ha,NSI
DE221,Total wheat,Area,691.75,2007,2020,4,ha,NSI
DE222,Total wheat,Area,117.25,2007,2020,4,ha,NSI
DE223,Total wheat,Area,1106.0,2007,2020,4,ha,NSI
DE224,Total wheat,Area,9480.25,2007,2020,4,ha,NSI
DE225,Total wheat,Area,174.25,2007,2020,4,ha,NSI
DE226,Total wheat,Area,9627.75,2007,2020,4,ha,NSI
DE227,Total wheat,Area,25154.75,2007,2020,4,ha,NSI
DE228,Total wheat,Area,11635.75,2007,2020,4,ha,NSI
DE229,Total wheat,Area,148.5,2007,2020,4,ha,NSI
DE22A,Total wheat,Area,15158.0,2007,2020,4,ha,NSI
DE22B,Total wheat,Area,17005.25,2007,2020,4,ha,NSI
DE22C,Total wheat,Area,16193.0,2007,2020,4,ha,NSI
DE231,Total wheat,Area,412.0,2007,2020,4,ha,NSI
DE232,Total wheat,Area,829.25,2007,2020,4,ha,NSI
DE233,Total wheat,Area,314.25,2007,2020,4,ha,NSI
DE234,Total wheat,Area,5285.25,2007,2020,4,ha,NSI
DE235,Total wheat,Area,4067.25,2007,2020,4,ha,NSI
DE236,Total wheat,Area,7879.5,2007,2020,4,ha,NSI
DE237,Total wheat,Area,3047.75,2007,2020,4,ha,NSI
DE238,Total wheat,Area,19105.75,2007,2020,4,ha,NSI
DE239,Total wheat,Area,5019.5,2007,2020,4,ha,NSI
DE23A,Total wheat,Area,3366.75,2007,2020,4,ha,NSI
DE241,Total wheat,Area,99.25,2007,2020,4,ha,NSI
DE242,Total wheat,Area,480.25,2007,2020,4,ha,NSI
DE243,Total wheat,Area,285.0,2007,2020,4,ha,NSI
DE244,Total wheat,Area,173.0,2007,2020,4,ha,NSI
DE245,Total wheat,Area,9116.75,2007,2020,4,ha,NSI
DE246,Total wheat,Area,3274.75,2007,2020,4,ha,NSI
DE247,Total wheat,Area,7029.25,2007,2020,4,ha,NSI
DE248,Total wheat,Area,2766.75,2007,2020,4,ha,NSI
DE249,Total wheat,Area,2679.0,2007,2020,4,ha,NSI
DE24A,Total wheat,Area,1361.25,2007,2020,4,ha,NSI
DE24B,Total wheat,Area,2435.5,2007,2020,4,ha,NSI
DE24C,Total wheat,Area,4064.75,2007,2020,4,ha,NSI
DE24D,Total wheat,Area,777.0,2007,2020,4,ha,NSI
DE251,Total wheat,Area,591.5,2007,2020,4,ha,NSI
DE252,Total wheat,Area,409.25,2007,2020,4,ha,NSI
DE253,Total wheat,Area,262.0,2007,2020,4,ha,NSI
DE254,Total wheat,Area,249.25,2007,2020,4,ha,NSI
DE255,Total wheat,Area,108.75,2007,2020,4,ha,NSI
DE256,Total wheat,Area,12788.75,2007,2020,4,ha,NSI
DE257,Total wheat,Area,2935.75,2007,2020,4,ha,NSI
DE258,Total wheat,Area,3203.0,2007,2020,4,ha,NSI
DE259,Total wheat,Area,1861.0,2007,2020,4,ha,NSI
DE25A,Total wheat,Area,13814.25,2007,2020,4,ha,NSI
DE25B,Total wheat,Area,4021.0,2007,2020,4,ha,NSI
DE25C,Total wheat,Area,7565.25,2007,2020,4,ha,NSI
DE261,Total wheat,Area,101.33333333333333,2007,2020,3,ha,NSI
DE262,Total wheat,Area,153.33333333333334,2007,2020,3,ha,NSI
DE263,Total wheat,Area,789.0,2007,2020,4,ha,NSI
DE264,Total wheat,Area,1816.75,2007,2020,4,ha,NSI
DE265,Total wheat,Area,7788.0,2007,2020,4,ha,NSI
DE266,Total wheat,Area,12178.5,2007,2020,4,ha,NSI
DE267,Total wheat,Area,11401.5,2007,2020,4,ha,NSI
DE268,Total wheat,Area,10466.25,2007,2020,4,ha,NSI
DE269,Total wheat,Area,2743.25,2007,2020,4,ha,NSI
DE26A,Total wheat,Area,8790.25,2007,2020,4,ha,NSI
DE26B,Total wheat,Area,15782.0,2007,2020,4,ha,NSI
DE26C,Total wheat,Area,20022.25,2007,2020,4,ha,NSI
DE271,Total wheat,Area,785.5,2007,2020,4,ha,NSI
DE274,Total wheat,Area,175.5,2007,2020,4,ha,NSI
DE275,Total wheat,Area,10538.0,2007,2020,4,ha,NSI
DE276,Total wheat,Area,9835.75,2007,2020,4,ha,NSI
DE277,Total wheat,Area,13505.75,2007,2020,4,ha,NSI
DE278,Total wheat,Area,7815.5,2007,2020,4,ha,NSI
DE279,Total wheat,Area,5177.5,2007,2020,4,ha,NSI
DE27A,Total wheat,Area,0.0,2007,2007,1,ha,NSI
DE27B,Total wheat,Area,1518.75,2007,2020,4,ha,NSI
DE27C,Total wheat,Area,3965.5,2007,2020,4,ha,NSI
DE27D,Total wheat,Area,17662.5,2007,2020,4,ha,NSI
DE27E,Total wheat,Area,13.5,2010,2016,2,ha,NSI
DE300,Total wheat,Area,104.0,2007,2007,1,ha,NSI
DE401,Total wheat,Area,215.75,2007,2020,4,ha,NSI
DE402,Total wheat,Area,260.0,2007,2016,3,ha,NSI
DE403,Total wheat,Area,191.33333333333334,2007,2016,3,ha,NSI
DE404,Total wheat,Area,437.5,2007,2020,4,ha,NSI
DE405,Total wheat,Area,5153.5,2007,2020,4,ha,NSI
DE406,Total wheat,Area,2435.0,2007,2020,4,ha,NSI
DE407,Total wheat,Area,6539.5,2007,2020,4,ha,NSI
DE408,Total wheat,Area,9433.0,2007,2020,4,ha,NSI
