,lon,lat,precip_additive,precip_mean
167,-9.034802,28.768037,598.50037,31.50001947
168,-8.717181,28.768037,512.40063,26.96845421
169,-8.39956,28.768037,464.90057,24.46845105
170,-8.081939,28.768037,442.10028,23.26843579
171,-7.764318,28.768037,376.00015,19.78948158
172,-7.446697,28.768037,357.39993,18.81052263
173,-7.129076,28.768037,360.2001,18.9579
174,-6.811455,28.768037,349.6002,18.40001053
175,-6.493834,28.768037,363.30017,19.12106158
176,-6.176213,28.768037,384.00027,20.21054053
177,-5.858592,28.768037,367.90036,19.36317684
178,-4.270487,28.768037,312.10004,16.42631789
179,-3.952866,28.768037,298.60013,15.71579632
180,-3.635245,28.768037,280.7002,14.77369474
181,-3.317624,28.768037,257.4,13.54736842
182,-3.000003,28.768037,255.09999,13.42631526
183,-2.682382,28.768037,259.49997,13.65789316
184,22.727298,28.768037,82.99999,4.368420526
185,23.044919,28.768037,83.39999,4.389473158
186,23.36254,28.768037,79.39999,4.178946842
187,23.680161,28.768037,72.399994,3.810526
188,23.997782,28.768037,66.99999,3.526315263
189,24.315403,28.768037,70.3,3.7
190,24.633024,28.768037,77.09999,4.057894211
191,24.950645,28.768037,74.200005,3.905263421
192,25.268266,28.768037,69.99998,3.684209474
193,25.585887,28.768037,73.89998,3.889472632
194,25.903508,28.768037,76.79998,4.042104211
195,26.221129,28.768037,78.999985,4.157893947
196,26.53875,28.768037,75.199974,3.957893368
197,26.856371,28.768037,76.89996,4.047366316
198,27.173992,28.768037,83.19998,4.378946316
199,27.491613,28.768037,88.499954,4.657892316
200,27.809234,28.768037,99.89996,5.257892632
201,28.126855,28.768037,106.999954,5.631576526
202,28.444476,28.768037,100.699974,5.299998632
203,28.762097,28.768037,96.59996,5.084208421
204,29.079718,28.768037,86.79999,4.568420526
205,29.397339,28.768037,76.99998,4.052630526
206,29.71496,28.768037,70.79997,3.726314211
207,30.032581,28.768037,67.39999,3.547367895
208,30.350202,28.768037,68,3.578947368
209,30.667823,28.768037,71.099976,3.742104
210,30.985444,28.768037,89.1,4.689473684
211,31.303065,28.768037,101.39999,5.336841579
212,31.620686,28.768037,114.99996,6.052629474
213,31.938307,28.768037,147.20003,7.74737
214,32.255928,28.768037,180.10011,9.478953158
215,32.573549,28.768037,145.19997,7.642103684
216,32.89117,28.768037,151.20003,7.957896316
217,33.208791,28.768037,198.10011,10.42632158
218,33.526412,28.768037,223.6001,11.76842632
219,33.844033,28.768037,245.50017,12.92106158
220,34.161654,28.768037,249.10025,13.11053947
221,34.479275,28.768037,288.90015,15.20527105
222,34.796896,28.768037,319.50024,16.81580211
223,-10.622907,29.085658,1594.9911,83.9469
224,-10.305286,29.085658,1664.6915,87.61534211
225,-9.987665,29.085658,1566.792,82.46273684
226,-9.670044,29.085658,1268.7959,66.77873158
227,-9.352423,29.085658,1062.9977,55.94724737
228,-9.034802,29.085658,852.49854,44.86834421
229,-8.717181,29.085658,653.00037,34.36844053
230,-8.39956,29.085658,560.40015,29.49474474
231,-8.081939,29.085658,511.2004,26.90528421
232,-7.764318,29.085658,452.90024,23.83685474
233,-7.446697,29.085658,415.5003,21.86843684
234,-7.129076,29.085658,408.50012,21.50000632
235,-6.811455,29.085658,421.20026,22.16843474
236,-6.493834,29.085658,424.8003,22.35791053
237,-6.176213,29.085658,453.20032,23.85264842
238,-5.858592,29.085658,437.20023,23.01053842
239,-5.540971,29.085658,405.80035,21.35791316
240,-4.270487,29.085658,333.1002,17.53158947
241,-3.952866,29.085658,319.8001,16.83158421
242,-3.635245,29.085658,293.30008,15.43684632
243,-3.317624,29.085658,264.60007,13.92631947
244,-3.000003,29.085658,266.69998,14.03684105
245,-2.682382,29.085658,270.7,14.24736842
246,-2.364761,29.085658,267.50003,14.07894895
247,-2.04714,29.085658,254.20009,13.37895211
248,-1.729519,29.085658,239.59993,12.61052263
